
Logged request date: 10/12/2018 18:17 | Request type: Enrol to a course (student) | Request parameter: studentID = SOENS3355, courseID = SOEN1234, semester = WINTER | Request state: Successful | Server response: The student SOENS3355 is registered for the course SOEN1234
Logged request date: 10/12/2018 18:17 | Request type: Enrol to a course (student) | Request parameter: studentID = SOENS332, courseID = SOEN883, semester = WINTER | Request state: Successful | Server response: The student SOENS332 is registered for the course SOEN883
Logged request date: 10/12/2018 18:17 | Request type: Enrol to a course (student) | Request parameter: studentID = SOENS3445, courseID = SOEN883, semester = WINTER | Request state: Successful | Server response: The student SOENS3445 is registered for the course SOEN883
Logged request date: 10/12/2018 18:17 | Request type: Enrol to a course (student) | Request parameter: studentID = SOENS3245, courseID = SOEN883, semester = WINTER | Request state: Failed | Server response: The course SOEN883 has no room left
Logged request date: 10/12/2018 18:17 | Request type: Get class schedule (student) | Request parameter: studentID = SOENS3355 | Request state: Successful | Server response: Student courses = semester is WINTER and course is SOEN1234, semester is WINTER and course is SOEN883, 
Logged request date: 10/12/2018 18:17 | Request type: Drop a course (student) | Request parameter: studentID = SOENS3245, courseID = SOEN883 | Request state: Failed | Server response: The student with ID SOENS3245 did not have a course SOEN883 that could be dropped.
Logged request date: 10/12/2018 18:17 | Request type: Drop a course (student) | Request parameter: studentID = SOENS3355, courseID = SOEN883 | Request state: Successful | Server response: The student with ID SOENS3355 has been dropped from the course SOEN883
Logged request date: 10/12/2018 18:17 | Request type: Drop a course (student) | Request parameter: studentID = SOENS3355, courseID = SOEN883 | Request state: Failed | Server response: The student with ID SOENS3355 did not have a course SOEN883 that could be dropped.
Logged request date: 10/12/2018 18:17 | Request type: Get class schedule (student) | Request parameter: studentID = SOENS3355 | Request state: Successful | Server response: Student courses = semester is WINTER and course is SOEN1234, 
Logged request date: 10/12/2018 18:17 | Request type: Delete a course (advisor) | Request parameter: semester = WINTER, courseID = SOEN883, semester = WINTER | Request state: Successful | Server response: A course SOEN883 has been deleted for WINTER semester and the students have been dropped from the course
Logged request date: 10/12/2018 18:17 | Request type: Delete a course (advisor) | Request parameter: semester = WINTER, courseID = SOEN883, semester = WINTER | Request state: Failed | Server response: A course SOEN883 does not exists for WINTER semester
Logged request date: 10/12/2018 18:17 | Request type: Get class schedule (student) | Request parameter: studentID = SOENS3355 | Request state: Successful | Server response: Student courses = semester is WINTER and course is SOEN1234, 
Logged request date: 10/12/2018 18:17 | Request type: List course availability (advisor) | Request parameter: semester = WINTER | Request state: Successful | Server response: {COMP349={Capacity={TotalCapacity=3, Registered=1}, RegisteredStudents={COMPS1234=Kurosh Farsimadan}, Information={Details=This is testing material}}, COMP1234={Capacity={TotalCapacity=3, Registered=1}, RegisteredStudents={COMPS1234=Kurosh Farsimadan}, Information={Details=This is testing material}}}{INSE349={Capacity={TotalCapacity=3, Registered=1}, RegisteredStudents={INSES1234=Kurosh Farsimadan}, Information={Details=This is testing material}}, INSE1234={Capacity={TotalCapacity=3, Registered=1}, RegisteredStudents={INSES1234=Kurosh Farsimadan}, Information={Details=This is testing material}}}{SOEN349={Capacity={TotalCapacity=3, Registered=1}, RegisteredStudents={SOENS1234=Kurosh Farsimadan}, Information={Details=This is testing material}}, SOEN1234={Capacity={TotalCapacity=3, Registered=3}, RegisteredStudents={SOENS3355=NoName, SOENS3322=NoName, SOENS1234=Kurosh Farsimadan}, Information={Details=This is testing material}}}
Logged request date: 10/12/2018 18:18 | Request type: Enrol to a course (student) | Request parameter: studentID = SOENS1233, courseID = SOEN1234, semester = WINTER | Request state: Successful | Server response: The student SOENS1233 is registered for the course SOEN1234
